449,225
448.88,217.671
448.52,210.35
447.921,203.044
447.084,195.762
446.008,188.511
444.696,181.3
443.148,174.135
441.367,167.025
439.355,159.976
437.112,152.998
434.643,146.096
431.949,139.279
429.034,132.554
425.9,125.927
422.55,119.407
418.99,113
415.221,106.713
411.249,100.552
407.078,94.525
402.711,88.6375
398.154,82.8959
393.412,77.3065
388.49,71.8753
383.392,66.6081
378.125,61.5105
372.693,56.5879
367.104,51.8457
361.363,47.2889
355.475,42.9224
349.448,38.7508
343.287,34.7787
337,31.0103
330.593,27.4496
324.073,24.1005
317.446,20.9665
310.721,18.051
303.904,15.3571
297.002,12.8876
290.024,10.6454
282.975,8.6326
275.865,6.85153
268.7,5.30408
261.488,3.99187
254.238,2.91634
246.956,2.07861
239.65,1.4796
232.329,1.11992
225,1
217.671,1.11993
210.35,1.47961
203.044,2.07864
195.762,2.91638
188.511,3.99194
181.3,5.30414
174.135,6.85162
167.024,8.63269
159.976,10.6454
152.997,12.8878
146.096,15.3572
139.279,18.0511
132.553,20.9666
125.927,24.1006
119.407,27.4498
113,31.0105
106.713,34.7789
100.552,38.7509
94.5248,42.9225
88.6373,47.289
82.8958,51.8458
77.3064,56.588
71.8752,61.5106
66.608,66.6082
61.5103,71.8754
56.5878,77.3066
51.8456,82.896
47.2888,88.6375
42.9223,94.5251
38.7508,100.552
34.7787,106.713
31.0103,113
27.4496,119.407
24.1005,125.927
20.9665,132.554
18.051,139.279
15.3571,146.096
12.8877,152.998
10.6454,159.976
8.63263,167.024
6.85158,174.135
5.30412,181.3
3.99191,188.511
2.91637,195.762
2.07864,203.044
1.47961,210.35
1.11993,217.671
1,225
1.11992,232.329
1.47958,239.65
2.0786,246.956
2.91632,254.238
3.99185,261.488
5.30403,268.7
6.85149,275.865
8.63254,282.975
10.6453,290.023
12.8875,297.002
15.3569,303.904
18.0508,310.721
20.9663,317.446
24.1003,324.072
27.4494,330.592
31.0101,337
34.7785,343.287
38.7505,349.447
42.9221,355.475
47.2885,361.362
51.8453,367.104
56.5875,372.693
61.5101,378.124
66.6077,383.392
71.8749,388.489
77.3061,393.412
82.8955,398.154
88.637,402.711
94.5245,407.077
100.552,411.249
106.712,415.221
112.999,418.989
119.407,422.55
125.927,425.899
132.553,429.033
139.278,431.949
146.095,434.643
152.997,437.112
159.976,439.354
167.024,441.367
174.134,443.148
181.299,444.696
188.511,446.008
195.761,447.084
203.043,447.921
210.349,448.52
217.67,448.88
224.999,449
232.328,448.88
239.649,448.52
246.955,447.921
254.237,447.084
261.488,446.008
268.699,444.696
275.864,443.149
282.975,441.368
290.023,439.355
297.001,437.113
303.903,434.643
310.72,431.949
317.445,429.034
324.072,425.9
330.592,422.551
336.999,418.99
343.286,415.222
349.447,411.25
355.474,407.078
361.362,402.712
367.103,398.155
372.693,393.413
378.124,388.49
383.391,383.393
388.489,378.126
393.411,372.694
398.154,367.105
402.71,361.364
407.077,355.476
411.248,349.449
415.221,343.288
418.989,337.001
422.55,330.594
425.899,324.074
429.033,317.448
431.948,310.722
434.642,303.905
437.112,297.004
439.354,290.025
441.367,282.977
443.148,275.867
444.696,268.702
446.008,261.49
447.083,254.239
447.921,246.957
448.52,239.652
448.88,232.331
